gene_id,log2FoldChange,log2CPM,PValue,FDR,up_down
GNAO1,-2.177650651,4.718246586,2.33E-15,3.20E-14,Down
FCGR1A,2.190909888,1.961279142,2.35E-15,3.24E-14,Up
PDE5A,-1.400184432,5.467823111,2.37E-15,3.26E-14,Down
DACT3,-1.963325415,4.34236695,2.38E-15,3.26E-14,Down
PLIN5,-1.726127319,0.639756813,2.38E-15,3.27E-14,Down
CCT6A,1.047764784,7.629304693,2.42E-15,3.32E-14,Up
APLN,2.846557856,3.420671238,2.42E-15,3.32E-14,Up
PRKAR2B,-1.635077795,4.160726758,2.51E-15,3.43E-14,Down
GSG1L,-1.98677739,-2.371045324,2.53E-15,3.45E-14,Down
SLC5A6,1.338282802,5.860736046,2.57E-15,3.51E-14,Up
OAT,-1.294602043,7.062353477,2.60E-15,3.55E-14,Down
BOP1,1.261810995,6.28275984,2.64E-15,3.60E-14,Up
SLC13A2,-3.152289873,4.138519392,2.75E-15,3.75E-14,Down
S100A14,-1.97417921,7.381940224,2.76E-15,3.75E-14,Down
PPP1R3G,-1.613512674,1.227672572,2.76E-15,3.76E-14,Down
SLC9A9,-1.409332354,2.897372277,2.78E-15,3.77E-14,Down
MEIS1,-1.496050236,4.636790594,2.91E-15,3.95E-14,Down
GRM8,2.759283878,0.045742759,2.94E-15,3.99E-14,Up
ATG9B,-1.823604687,2.395115094,2.96E-15,4.00E-14,Down
PTPLA,-1.819813726,2.269362629,2.99E-15,4.05E-14,Down
CCDC138,1.174785282,2.855136116,3.01E-15,4.06E-14,Up
SPRR3,-4.471509276,8.949196578,3.06E-15,4.13E-14,Down
KLHDC8A,-1.443952329,0.99291859,3.09E-15,4.16E-14,Down
TP63,-2.816069218,3.299829766,3.14E-15,4.23E-14,Down
NPTX1,-2.735241304,3.495431367,3.20E-15,4.30E-14,Down
SH3GL2,-2.703600508,-0.233100056,3.23E-15,4.34E-14,Down
SV2C,-2.098407697,0.238517235,3.34E-15,4.49E-14,Down
ZBTB47,-1.19378685,4.429850899,3.36E-15,4.51E-14,Down
FRZB,-1.828057844,5.006066439,3.42E-15,4.59E-14,Down
MYL4,-1.645965098,-1.169534429,3.45E-15,4.62E-14,Down
AC044839.1,-1.787056936,-2.609233396,3.57E-15,4.78E-14,Down
B3GNTL1,1.023808784,2.425638022,3.58E-15,4.79E-14,Up
GFRA1,-2.241795233,4.430366069,3.63E-15,4.84E-14,Down
EDN2,-2.39124123,0.746138837,3.71E-15,4.93E-14,Down
FNDC1,3.336272738,6.246244907,3.75E-15,4.99E-14,Up
XDH,-2.011469275,4.646569773,3.78E-15,5.02E-14,Down
C4BPA,4.980700714,2.990906598,4.02E-15,5.32E-14,Up
MSRB3,-1.852058239,5.784621089,4.15E-15,5.49E-14,Down
LIMK1,1.028416786,5.868819688,4.23E-15,5.59E-14,Up
ITPKB,-1.45848922,6.074002278,4.39E-15,5.79E-14,Down
HIPK4,-1.665372794,-1.739665527,4.46E-15,5.88E-14,Down
PMP22,-1.206570588,6.158602364,4.48E-15,5.90E-14,Down
MUC22,-4.048183145,1.73103409,4.49E-15,5.92E-14,Down
AOC3,-1.885798591,6.187448856,4.52E-15,5.95E-14,Down
BCHE,-2.447750472,2.228475076,4.66E-15,6.12E-14,Down
DUOX1,-2.096035827,4.877526005,4.66E-15,6.12E-14,Down
PLOD3,1.321681636,7.241834884,4.87E-15,6.39E-14,Up
DARS2,1.198894179,5.650170487,4.90E-15,6.43E-14,Up
ADRA1A,-1.78043526,-0.940415318,5.02E-15,6.58E-14,Down
ZNF471,-1.660058536,1.688527791,5.06E-15,6.63E-14,Down
TGM5,-3.277402763,-0.307630117,5.16E-15,6.76E-14,Down
SSR4,-1.076687538,7.759580475,5.25E-15,6.86E-14,Down
ATP2B4,-1.501620311,7.857965495,5.52E-15,7.20E-14,Down
FRMD5,2.054689174,3.146026248,5.61E-15,7.30E-14,Up
NCALD,-1.354452821,3.766407409,5.63E-15,7.31E-14,Down
CYP11A1,-2.011461476,-0.439970057,5.66E-15,7.34E-14,Down
SLC46A2,-1.869866186,-1.728537675,5.87E-15,7.61E-14,Down
ACTA2,-1.865354467,8.320150062,6.00E-15,7.78E-14,Down
ASB2,-2.067938313,4.108178803,6.02E-15,7.79E-14,Down
NCS1,-1.704908288,5.593487881,6.03E-15,7.81E-14,Down
CASC5,1.586718819,4.94606027,6.04E-15,7.81E-14,Up
TCEAL2,-2.746221438,2.515713808,6.09E-15,7.87E-14,Down
CENPA,1.744211043,3.291433199,6.15E-15,7.93E-14,Up
TRPM2,1.568394632,4.035723815,6.66E-15,8.59E-14,Up
LIX1,-2.527982222,-0.460793996,6.91E-15,8.91E-14,Down
PBX1,-1.321153357,6.27404935,6.99E-15,9.00E-14,Down
NNAT,-2.126880892,2.577021357,7.08E-15,9.11E-14,Down
DBF4B,1.026886536,3.588384065,7.20E-15,9.25E-14,Up
MEX3A,2.50837039,3.581038646,7.32E-15,9.40E-14,Up
SH3BGRL,-1.148544445,7.175804855,7.46E-15,9.57E-14,Down
CDCA8,1.48333046,5.022195663,7.88E-15,1.01E-13,Up
CDC25B,1.5266662,7.05186945,8.25E-15,1.06E-13,Up
ARHGEF38,1.978717033,3.461332833,8.32E-15,1.06E-13,Up
CDHR3,-1.302382397,2.608742142,8.36E-15,1.07E-13,Down
TMEM220,-1.284308921,2.549853185,8.47E-15,1.08E-13,Down
CHAF1B,1.263000382,3.763724608,8.53E-15,1.09E-13,Up
DEPDC1,1.703437135,4.214108337,9.12E-15,1.16E-13,Up
GPRASP2,-1.175415475,2.342856031,9.31E-15,1.19E-13,Down
TICRR,1.699753677,4.142056799,9.40E-15,1.20E-13,Up
ATOH8,-1.703385871,2.542299956,9.45E-15,1.20E-13,Down
HIST1H3J,2.612000471,-2.148293284,9.92E-15,1.26E-13,Up
SLC25A23,-1.035436096,6.854160438,9.94E-15,1.26E-13,Down
CXCR2,-2.151304636,2.29930704,1.00E-14,1.27E-13,Down
CHEK2,1.188853877,3.60114587,1.05E-14,1.33E-13,Up
ZWINT,1.448977786,5.35725457,1.08E-14,1.36E-13,Up
RNF165,-1.847212273,0.47958033,1.08E-14,1.37E-13,Down
OLFM3,-2.90256094,-2.663952164,1.10E-14,1.38E-13,Down
BPIFB2,-4.679744394,5.099277627,1.10E-14,1.38E-13,Down
FAM83C,-3.449287701,1.240326826,1.10E-14,1.39E-13,Down
UNC5D,-2.523336441,-0.410268063,1.11E-14,1.40E-13,Down
MRGPRF,-2.032085841,4.647324953,1.14E-14,1.43E-13,Down
ADH1B,-2.455280198,5.137836593,1.14E-14,1.44E-13,Down
GJB6,-3.236212435,3.183622704,1.17E-14,1.46E-13,Down
IRF4,-1.811020337,3.595732381,1.18E-14,1.47E-13,Down
BRIX1,1.132642357,5.10335505,1.20E-14,1.50E-13,Up
DDX11,1.274528902,4.950452442,1.21E-14,1.51E-13,Up
MYH11,-2.685719198,11.33910224,1.23E-14,1.54E-13,Down
GRIK5,-2.048252256,2.498640607,1.25E-14,1.56E-13,Down
ME1,-1.311636103,5.013960571,1.29E-14,1.61E-13,Down
GRIK3,-2.474941925,1.614025642,1.31E-14,1.63E-13,Down
DYNAP,-4.333430207,0.580509714,1.31E-14,1.63E-13,Down
LTC4S,-1.254098456,1.486303291,1.34E-14,1.67E-13,Down
CLIP4,-1.432860875,4.122701399,1.35E-14,1.67E-13,Down
MAB21L1,-2.069011009,-1.270211514,1.37E-14,1.70E-13,Down
TRAIP,1.26794741,2.560354772,1.40E-14,1.74E-13,Up
HSPB3,-3.083460923,-1.735550079,1.41E-14,1.75E-13,Down
MYOZ1,-1.658413406,-1.225226215,1.45E-14,1.80E-13,Down
KIAA0101,1.642840882,3.893991899,1.51E-14,1.86E-13,Up
RAET1L,-2.608088791,1.212273118,1.59E-14,1.96E-13,Down
PLA2G7,2.181236367,3.935031267,1.59E-14,1.96E-13,Up
CLEC5A,2.528123489,1.620315749,1.60E-14,1.97E-13,Up
RAET1G,-2.034886693,-0.300782883,1.61E-14,1.98E-13,Down
COL3A1,2.118338531,11.11930002,1.62E-14,1.99E-13,Up
TGIF2,1.008327656,4.837172773,1.63E-14,2.00E-13,Up
PHLPP2,-1.107003517,3.920243597,1.71E-14,2.09E-13,Down
ANTXR2,-1.386144249,6.560290676,1.78E-14,2.17E-13,Down
TP53I3,-1.04522621,4.197416488,1.78E-14,2.17E-13,Down
BYSL,1.140616494,4.351155711,1.78E-14,2.18E-13,Up
ACOT11,-1.089484579,4.730718846,1.79E-14,2.18E-13,Down
NCAPD2,1.067520001,7.122037016,1.86E-14,2.27E-13,Up
SOCS3,-1.235746573,6.879767319,1.87E-14,2.28E-13,Down
CDHR2,-2.220092835,6.136736086,1.88E-14,2.29E-13,Down
PDLIM4,-1.47970625,4.619370109,1.90E-14,2.31E-13,Down
ITGAX,1.761737145,4.769641049,2.01E-14,2.44E-13,Up
GDF7,-1.842595768,1.036439995,2.05E-14,2.49E-13,Down
PLK1,1.569851694,5.824064932,2.07E-14,2.50E-13,Up
TTC26,1.04343904,3.109665973,2.08E-14,2.51E-13,Up
TMC7,1.734158284,3.90590583,2.12E-14,2.57E-13,Up
BIRC7,4.229734195,0.585820552,2.17E-14,2.62E-13,Up
BID,1.00408875,5.284013889,2.18E-14,2.63E-13,Up
SYNM,-2.615385415,7.906454383,2.21E-14,2.67E-13,Down
ATCAY,-2.122648908,-1.004768312,2.32E-14,2.79E-13,Down
NDUFV2,1.534899641,0.471995971,2.32E-14,2.79E-13,Up
ARSF,-2.777807671,-1.761172541,2.36E-14,2.84E-13,Down
CALY,-2.427779912,0.015704753,2.38E-14,2.86E-13,Down
RDH8,6.385431085,0.015867791,2.42E-14,2.91E-13,Up
CDC6,2.812317152,5.697857861,2.51E-14,3.01E-13,Up
CEP72,1.607607237,3.40447627,2.55E-14,3.06E-13,Up
NR4A1,-1.594493827,7.121739843,2.64E-14,3.17E-13,Down
ZNF761,1.22137773,4.563959853,2.66E-14,3.18E-13,Up
FYCO1,-1.09588295,6.38866035,2.70E-14,3.23E-13,Down
ZNF239,1.371780622,2.825938451,2.71E-14,3.24E-13,Up
MICU3,-1.533352859,1.607233974,2.72E-14,3.25E-13,Down
LURAP1,-1.40439914,-0.476155857,2.74E-14,3.28E-13,Down
CACNA1H,-1.807155136,6.132153041,2.80E-14,3.34E-13,Down
SPEG,-2.196292993,5.16943824,2.91E-14,3.46E-13,Down
ADCY5,-2.094575512,4.969338134,2.96E-14,3.51E-13,Down
RADIL,-1.700676219,0.98039358,2.98E-14,3.54E-13,Down
FADS6,-2.763237061,0.914322143,2.99E-14,3.54E-13,Down
ULBP1,3.386378258,0.317765015,2.99E-14,3.55E-13,Up
CA14,-1.393485926,0.892412098,3.06E-14,3.62E-13,Down
POPDC2,-1.994277327,2.545497883,3.07E-14,3.63E-13,Down
NUP155,1.061163439,6.011939198,3.10E-14,3.66E-13,Up
PHYHIP,-1.571649163,1.420089615,3.13E-14,3.70E-13,Down
EPHB4,1.152665122,6.97535321,3.18E-14,3.75E-13,Up
FRMD1,-2.4347552,1.435908009,3.20E-14,3.77E-13,Down
DUOXA1,-2.357204768,2.583022199,3.22E-14,3.79E-13,Down
LGI1,-2.213634188,-0.51285517,3.24E-14,3.82E-13,Down
TENC1,-1.192857827,6.355962212,3.31E-14,3.89E-13,Down
PPM1K,-1.069961703,4.411695182,3.38E-14,3.97E-13,Down
FCGR3A,2.284323914,5.603069596,3.42E-14,4.01E-13,Up
FGF2,-1.769356683,3.189808705,3.48E-14,4.08E-13,Down
COPZ2,-1.409535375,3.140092279,3.57E-14,4.19E-13,Down
TMEM82,-2.271942573,2.112846759,3.62E-14,4.24E-13,Down
FBXO5,1.096650978,3.702989892,3.64E-14,4.26E-13,Up
DUSP26,-1.965192025,0.236727439,3.64E-14,4.26E-13,Down
SAPCD1,2.414580451,-1.346751311,3.70E-14,4.32E-13,Up
EPHX2,-1.353283128,5.106041535,3.72E-14,4.34E-13,Down
MAGI2,-1.37477658,2.624443159,3.74E-14,4.37E-13,Down
CHML,1.356162453,4.554253165,3.75E-14,4.37E-13,Up
NRP2,-1.497123616,6.320088185,3.78E-14,4.41E-13,Down
GPRASP1,-1.684723703,3.136986462,3.83E-14,4.47E-13,Down
CD3EAP,1.284801463,2.369988781,3.84E-14,4.47E-13,Up
MMP3,4.866566534,5.299952618,3.97E-14,4.61E-13,Up
MSR1,2.011562799,4.792467284,4.05E-14,4.71E-13,Up
RORA,-1.204827475,4.213806847,4.06E-14,4.71E-13,Down
TTC22,-1.394251588,5.643574556,4.11E-14,4.77E-13,Down
ARG2,-1.291309629,1.778695993,4.17E-14,4.83E-13,Down
ACBD7,2.454762804,2.233065778,4.17E-14,4.83E-13,Up
CORIN,2.332910416,1.886743602,4.35E-14,5.03E-13,Up
ANP32E,1.045368044,6.196038126,4.36E-14,5.04E-13,Up
MYRIP,-1.775021256,2.19378237,4.39E-14,5.06E-13,Down
PCNA,1.247411556,7.230466419,4.52E-14,5.21E-13,Up
TMEM201,1.052706338,5.16116653,4.60E-14,5.29E-13,Up
PBK,1.917252748,4.613864213,4.64E-14,5.34E-13,Up
MAOB,-1.798982463,5.204683706,4.77E-14,5.47E-13,Down
CSF2,4.424778817,-0.137082368,5.39E-14,6.16E-13,Up
DCN,-1.493618682,8.743676637,5.45E-14,6.23E-13,Down
NDUFA4L2,-1.559509567,4.923908028,5.45E-14,6.23E-13,Down
FAHD2B,-1.094829277,2.361625855,5.58E-14,6.37E-13,Down
PKD2L1,2.389864209,-0.637391502,5.60E-14,6.38E-13,Up
LDLRAD2,-1.528373459,0.176353761,5.80E-14,6.61E-13,Down
MCM2,1.46252333,5.386864836,5.86E-14,6.67E-13,Up
GRPR,-2.371824319,0.292570637,5.97E-14,6.79E-13,Down
GALR1,-2.344793514,-1.81446504,6.05E-14,6.87E-13,Down
CSPP1,1.00337085,4.897515808,6.12E-14,6.94E-13,Up
C6orf223,3.710430991,3.748119563,6.32E-14,7.17E-13,Up
KRT13,-4.27176513,9.244379473,6.36E-14,7.21E-13,Down
BARX2,-1.907177383,4.136910384,6.38E-14,7.22E-13,Down
ATP12A,-3.099160478,0.317919986,6.48E-14,7.33E-13,Down
TMPRSS11D,-3.657001029,2.7396525,6.65E-14,7.52E-13,Down
APOBEC2,-2.031543629,0.996151717,6.79E-14,7.66E-13,Down
PPM1H,1.658111407,5.302754871,6.80E-14,7.67E-13,Up
TSPAN2,-1.735199859,4.271934835,6.94E-14,7.82E-13,Down
CD276,1.014812843,6.562416885,7.09E-14,7.98E-13,Up
BAI3,-2.157684637,0.415555109,7.12E-14,8.01E-13,Down
RECK,-1.258564714,3.631124453,7.49E-14,8.42E-13,Down
SOBP,-1.555706222,4.010181352,7.62E-14,8.55E-13,Down
IL17B,-1.45407578,-1.389860012,7.83E-14,8.78E-13,Down
SPC25,1.42743236,3.292819035,7.99E-14,8.96E-13,Up
PRRT1,-1.436816643,1.916444393,8.02E-14,8.99E-13,Down
POU6F1,-1.17523525,3.007322858,8.29E-14,9.28E-13,Down
CABP7,-1.903815807,-1.39574573,8.41E-14,9.42E-13,Down
PKHD1L1,-1.719516403,1.370532686,8.61E-14,9.62E-13,Down
PRPH,-2.327975552,-0.536008131,8.76E-14,9.78E-13,Down
WSCD2,-2.400427417,2.541699048,8.98E-14,1.00E-12,Down
P2RY2,-1.701227247,3.172640002,9.22E-14,1.03E-12,Down
FILIP1,-1.848716584,3.174305831,9.38E-14,1.04E-12,Down
ART3,-2.065700232,-0.037031005,9.44E-14,1.05E-12,Down
NEXN,-1.849581001,5.683498985,9.50E-14,1.06E-12,Down
RNF112,-1.448976813,-0.715792649,9.58E-14,1.06E-12,Down
FAM81A,1.803060856,3.263993424,1.02E-13,1.13E-12,Up
COL23A1,-1.526799359,1.588360754,1.02E-13,1.13E-12,Down
RGAG4,-1.523471728,2.746010617,1.04E-13,1.15E-12,Down
MLLT11,-1.658129654,2.695296498,1.04E-13,1.15E-12,Down
CDON,-1.65565014,3.577955903,1.07E-13,1.18E-12,Down
MYOZ2,-2.168429247,-2.002810157,1.08E-13,1.19E-12,Down
BVES,-1.882385065,3.626999015,1.12E-13,1.24E-12,Down
ASPG,-2.170730715,1.328753911,1.13E-13,1.24E-12,Down
ADAMTSL3,-1.763591092,3.292129202,1.18E-13,1.30E-12,Down
SLURP1,-4.256998529,3.318501286,1.20E-13,1.32E-12,Down
ANK2,-1.86943968,4.491173791,1.21E-13,1.32E-12,Down
APBB1,-1.385949955,4.111951921,1.24E-13,1.36E-12,Down
CYP1A1,-3.039213945,-0.009450415,1.27E-13,1.39E-12,Down
CALD1,-1.708901476,9.652247221,1.29E-13,1.41E-12,Down
CHD7,1.079095993,5.960416546,1.32E-13,1.44E-12,Up
MFAP2,2.151921592,4.066543385,1.33E-13,1.45E-12,Up
LMNB2,1.08543946,6.887680012,1.37E-13,1.49E-12,Up
KCNJ15,-2.076181759,3.739954336,1.37E-13,1.49E-12,Down
FGFBP2,-1.57769931,-0.942085674,1.39E-13,1.51E-12,Down
LHPP,-1.060090611,4.771722865,1.41E-13,1.52E-12,Down
CCDC18,1.080881373,2.669977712,1.41E-13,1.53E-12,Up
TMTC4,1.068970765,5.016753259,1.42E-13,1.54E-12,Up
CCNB1,1.440760793,5.700470472,1.44E-13,1.56E-12,Up
JPH2,-2.193657212,5.189420019,1.44E-13,1.56E-12,Down
RILP,-1.01345226,4.000592342,1.45E-13,1.56E-12,Down
KCNA1,-3.10491418,1.014879149,1.46E-13,1.57E-12,Down
MCM7,1.319075995,7.133509156,1.48E-13,1.60E-12,Up
SCGB2A1,-2.849374146,1.231176627,1.52E-13,1.64E-12,Down
FAM60A,1.213583858,6.147542935,1.58E-13,1.70E-12,Up
TFF2,-2.875730945,8.348022079,1.59E-13,1.70E-12,Down
BORA,1.228970143,3.171900432,1.59E-13,1.71E-12,Up
ACTBL2,5.216487635,0.07886096,1.60E-13,1.72E-12,Up
RHEBL1,1.548093992,0.379026629,1.61E-13,1.73E-12,Up
PLXNA1,1.082469864,6.856534813,1.61E-13,1.73E-12,Up
DSC2,-1.714857201,6.855589122,1.68E-13,1.79E-12,Down
MORN5,-2.907505803,0.414600864,1.72E-13,1.84E-12,Down
LTF,-2.664333089,7.264573594,1.78E-13,1.90E-12,Down
HELB,1.197238688,2.610362504,1.82E-13,1.93E-12,Up
C18orf54,1.173783537,2.553272857,1.82E-13,1.93E-12,Up
NME5,-1.623905483,-0.009741529,1.82E-13,1.94E-12,Down
MMP27,-2.160280597,-3.290666029,1.86E-13,1.97E-12,Down
SLC27A6,-2.312825548,-0.506770011,1.91E-13,2.03E-12,Down
CROT,-1.1493702,3.862901883,1.93E-13,2.04E-12,Down
HSPH1,1.304783792,7.396572069,1.95E-13,2.06E-12,Up
DSP,-1.365932235,9.153219883,2.03E-13,2.14E-12,Down
TMEM74,-1.742139509,-0.627481167,2.05E-13,2.16E-12,Down
CLDN5,-1.458452039,4.358215149,2.11E-13,2.22E-12,Down
CBX2,2.456724427,3.805171907,2.14E-13,2.25E-12,Up
COL1A2,1.933108272,10.99363179,2.18E-13,2.29E-12,Up
C10orf54,-1.005340012,6.28939202,2.29E-13,2.41E-12,Down
KIFC1,1.481280462,4.933947009,2.32E-13,2.44E-12,Up
CPXM1,2.215983004,4.194575766,2.35E-13,2.47E-12,Up
ASB16,-1.16707778,0.228306868,2.36E-13,2.47E-12,Down
PRR7,1.578731718,4.017033271,2.42E-13,2.54E-12,Up
RACGAP1,1.100544832,5.771874294,2.47E-13,2.59E-12,Up
RPL36A,1.338130797,1.897910835,2.48E-13,2.59E-12,Up
IKZF2,-1.386885069,3.748167282,2.48E-13,2.59E-12,Down
RASL12,-1.286793634,3.721639911,2.51E-13,2.63E-12,Down
PALLD,-1.451509065,8.18830405,2.55E-13,2.66E-12,Down
TACC3,1.259325391,5.989528742,2.61E-13,2.72E-12,Up
ESRRB,-1.947288814,-0.298753405,2.65E-13,2.76E-12,Down
BTBD16,3.075855871,1.237461278,2.70E-13,2.81E-12,Up
IGF2BP3,3.243406041,3.800061122,2.77E-13,2.88E-12,Up
FGF19,7.879523957,2.155226205,2.77E-13,2.88E-12,Up
FAM46C,-1.422585871,5.324706765,2.78E-13,2.89E-12,Down
AR,-1.751487908,2.469160816,2.81E-13,2.92E-12,Down
CLTB,-1.010496291,7.100079194,2.85E-13,2.96E-12,Down
NGB,-3.318538586,-1.733057289,2.88E-13,2.99E-12,Down
SOCS2,-1.081927386,4.12994611,2.90E-13,3.01E-12,Down
MMP13,4.18600087,1.142712983,2.95E-13,3.06E-12,Up
CDC25A,1.544522031,3.544101139,2.96E-13,3.06E-12,Up
ZNF789,1.177033072,3.2858142,3.03E-13,3.14E-12,Up
KCNN2,-1.530215685,0.415496479,3.05E-13,3.15E-12,Down
HSD17B2,-1.892907068,5.36385065,3.11E-13,3.21E-12,Down
PMEPA1,2.132992083,7.709855202,3.13E-13,3.23E-12,Up
DYNC1I1,-1.769102305,2.113434094,3.15E-13,3.25E-12,Down
SAPCD2,1.798781088,5.242775429,3.17E-13,3.26E-12,Up
RCC1,1.199970361,5.703120647,3.17E-13,3.27E-12,Up
FAM132B,2.372603088,1.421902518,3.28E-13,3.37E-12,Up
MATN3,2.699742828,2.527818376,3.28E-13,3.38E-12,Up
CDCA7,1.807457036,6.150571058,3.32E-13,3.42E-12,Up
GDPD3,-1.570579446,2.7337536,3.35E-13,3.44E-12,Down
SPDYC,4.397227569,0.518341791,3.36E-13,3.45E-12,Up
STAT1,1.332664859,8.522614942,3.43E-13,3.52E-12,Up
SLC5A2,1.869670182,-0.176443817,3.44E-13,3.53E-12,Up
TCF7L1,-1.283407627,4.03370093,3.48E-13,3.56E-12,Down
CMTM1,1.142826072,0.833754775,3.48E-13,3.56E-12,Up
CSPG4,-1.578111369,6.164173291,3.48E-13,3.56E-12,Down
UAP1L1,1.401430119,4.608907378,3.51E-13,3.58E-12,Up
C9orf9,-1.065138952,2.568501611,3.54E-13,3.61E-12,Down
GNG8,-1.717312012,-2.589375507,3.57E-13,3.65E-12,Down
CDH24,1.106051136,3.648252916,3.65E-13,3.73E-12,Up
KIF4B,2.105875611,-2.526009985,3.66E-13,3.73E-12,Up
TMEM63A,1.101634037,7.303639564,3.67E-13,3.74E-12,Up
CEP152,1.005955318,3.117539187,3.70E-13,3.77E-12,Up
ANPEP,-2.528024766,9.636671615,3.71E-13,3.78E-12,Down
ICAM3,-1.74739919,1.071850362,3.79E-13,3.85E-12,Down
GAS2L3,1.306577154,3.962050429,3.93E-13,3.99E-12,Up
PDE1B,-1.477495368,2.348977451,4.06E-13,4.11E-12,Down
NLRP6,-2.288443501,2.991464064,4.10E-13,4.15E-12,Down
NOX1,4.396613074,3.59890627,4.23E-13,4.27E-12,Up
C7orf69,3.790534899,-3.20498253,4.31E-13,4.35E-12,Up
PPP2R3A,-1.286451304,4.126958856,4.39E-13,4.42E-12,Down
CHAF1A,1.002778873,4.700921241,4.51E-13,4.54E-12,Up
CHRM2,-2.785558604,3.4541053,4.68E-13,4.71E-12,Down
BTBD11,-1.958615278,2.955255173,4.72E-13,4.74E-12,Down
DSG3,-3.055255741,6.049762389,4.75E-13,4.77E-12,Down
MFAP4,-1.70711649,7.41267718,4.79E-13,4.80E-12,Down
SLC12A8,1.192187387,4.568541728,4.81E-13,4.82E-12,Up
KIT,-1.572105415,4.175789749,5.10E-13,5.09E-12,Down
PIF1,1.257065856,2.81578646,5.13E-13,5.13E-12,Up
WDR90,1.166135521,5.204521419,5.25E-13,5.23E-12,Up
MPP7,-1.405803919,5.251911277,5.44E-13,5.41E-12,Down
PHYHD1,-1.610230394,2.506965524,5.59E-13,5.56E-12,Down
IGF2BP1,6.088863635,3.946039263,5.62E-13,5.59E-12,Up
MMP10,3.592901801,2.312877923,5.74E-13,5.70E-12,Up
CXCL9,3.194228882,6.84845556,5.88E-13,5.84E-12,Up
BFSP2,-1.75822614,-1.572419524,6.09E-13,6.03E-12,Down
SMPX,-3.007841721,1.714006487,6.30E-13,6.24E-12,Down
ABAT,-1.34821227,4.552586905,6.46E-13,6.39E-12,Down
RBM24,-1.923262912,1.303993632,6.53E-13,6.46E-12,Down
REEP1,-1.827415011,3.46657925,6.63E-13,6.55E-12,Down
AMH,3.11553334,2.009929799,6.78E-13,6.70E-12,Up
OTC,-2.788094045,2.9057958,6.86E-13,6.77E-12,Down
GLRX,-1.092978549,5.20032952,6.90E-13,6.80E-12,Down
PRKCG,3.456511502,2.489591542,7.07E-13,6.97E-12,Up
LIG1,1.062485831,5.087113473,7.12E-13,7.02E-12,Up
GDPD5,1.869108052,4.569374525,7.13E-13,7.02E-12,Up
KIAA2022,-2.084273999,0.804938148,7.14E-13,7.03E-12,Down
C8orf31,2.876994248,2.493722311,7.15E-13,7.03E-12,Up
SKP2,1.244845282,5.343712051,7.16E-13,7.04E-12,Up
CDC25C,1.500098955,2.98412347,7.30E-13,7.17E-12,Up
KRT32,-3.460382486,-1.740715442,7.37E-13,7.23E-12,Down
ATP2B2,-2.121562469,-0.66498031,7.46E-13,7.32E-12,Down
LONRF2,-2.030185825,3.234108405,7.57E-13,7.42E-12,Down
FOXD3,-2.218849115,-0.615670279,7.58E-13,7.42E-12,Down
GALNT15,-1.654374433,2.725832064,7.65E-13,7.48E-12,Down
TRPC4,-1.701784178,1.823236749,7.70E-13,7.52E-12,Down
EVA1A,2.628338911,2.207820776,7.76E-13,7.57E-12,Up
BLVRB,-1.043355382,6.328387317,7.77E-13,7.57E-12,Down
CXCL8,3.313235679,6.756772172,7.77E-13,7.57E-12,Up
WFIKKN2,-2.051453863,-2.228209978,7.94E-13,7.73E-12,Down
FOXP2,-1.977528017,3.820809852,8.07E-13,7.86E-12,Down
FGFR4,2.005392902,6.3734663,8.15E-13,7.93E-12,Up
ATAD3B,1.13026621,4.596740067,8.19E-13,7.96E-12,Up
RHOJ,-1.218604677,4.238861543,8.38E-13,8.13E-12,Down
SNRPD1,1.151491601,6.191939123,8.95E-13,8.67E-12,Up
S1PR5,-1.503171031,0.620293814,8.98E-13,8.69E-12,Down
MXRA5,1.791597153,8.160565295,9.09E-13,8.79E-12,Up
INPP5J,-1.215520933,3.385346417,9.34E-13,9.03E-12,Down
MC1R,1.369580916,0.716838392,9.37E-13,9.05E-12,Up
CRNN,-5.342429966,7.675978662,9.77E-13,9.43E-12,Down
STARD5,-1.019015992,1.162797736,9.79E-13,9.44E-12,Down
TNS1,-1.739171891,8.936977091,9.93E-13,9.58E-12,Down
SLC52A2,1.135607575,6.054436308,1.00E-12,9.65E-12,Up
TAGLN3,-2.488468238,-0.998065265,1.02E-12,9.81E-12,Down
ZFPM2,-1.502270803,2.854089311,1.02E-12,9.82E-12,Down
UGT2B17,-3.249679251,2.789194454,1.03E-12,9.94E-12,Down
SEMA5B,1.638282339,1.779290817,1.05E-12,1.01E-11,Up
MET,2.201856553,7.502312442,1.09E-12,1.04E-11,Up
HAND2,-2.564060938,4.258648943,1.12E-12,1.07E-11,Down
LRCH2,-1.390313597,1.978871464,1.12E-12,1.07E-11,Down
CYSLTR1,-1.362234247,2.21586744,1.16E-12,1.11E-11,Down
NMBR,-2.114872199,-3.354854149,1.17E-12,1.12E-11,Down
CCNE1,2.979325971,4.759269041,1.19E-12,1.14E-11,Up
ATHL1,1.851213371,5.433119434,1.20E-12,1.15E-11,Up
IGF2BP2,1.630024534,6.089140293,1.23E-12,1.17E-11,Up
HGH1,1.11387344,5.627343939,1.24E-12,1.18E-11,Up
LANCL3,-1.49753799,0.973894228,1.26E-12,1.20E-11,Down
TOP1MT,1.086374515,5.04081912,1.28E-12,1.21E-11,Up
ABCA9,-1.717737962,2.101181223,1.28E-12,1.22E-11,Down
